analysed	analyzed
analysing	analyzing
authorisation	authorization
authorisations	authorizations
authorised	authorized
behaviour	behavior
behaviours	behaviors
colouring	coloring
customisation	customization
customising	customizing
deserialise	deserialize
favourite	favorite
flavour	flavor
initialisation	initialization
initialise	initialize
initialised	initialized
initialises	initializes
initialising	initializing
neighbour	neighbor
neighbours	neighbors
optimisation	optimization
optimise	optimize
organisation	organization
organisational	organizational
organisations	organizations
personalisation	personalization
reinitialise	reinitialize
reorganisation	reorganization
serialised	serialized
summarised	summarized
synchronisation	synchronization
synchronise	synchronize
synchronised	synchronized
utilisation	utilization
