# this list is derived from table SLIN_DESC (columns PSEUDO_COM and PRAGMA)
# by excluding NOCOMMENT entries and correcting pragma 'ENHOK' into 'ENH_OK'

ARGCHECKED	ARG_OK
ASSIGN_LEN	ASSIGN_LEN
ASSIGN_OK	ASSIGN_OK
AT_LOOP_WH	LOOP_AT_OK
AUTDOM_CON	AUTH_DOM_VAL_OK
AUTFLD_LEN	AUTH_FLD_LEN
AUTFLD_MIS	AUTH_FLD_MISSING
AUTFLD_WRO	AUTH_FLD_NO
AUTHNOHNDL	AUTH_ERR_HANDLER_MISSING
AUTOBJ_WRO	AUTH_OBJ_OK
BLANK_OK	BLANK_OK
BOOL_OK	BOOL_OK
CALLED	CALLED
CATCH_ALL	CATCH_ALL
CHAIN_OK	CHAIN_OK
CLAS_FINAL	CLASS_FINAL
CONDTNL_OK	CONDITIONAL_CONSTR_OK
CONST_WRT	CONST_WRITE
CURS_LOST	CURSOR_LOST
CURS_PERF	CURSOR_LOST
DATFM	DATE_FORMAT
DECL_EVENT	DECL_EVENT
DECL_MODUL	DECL_MODUL
DEST_OK	FM_DEST_OK
DO_OK	DO_OK
DUPL_EVENT	DUPL_EVENT
DUPL_OK	DUPLICATE_OK
EMLFAILED	EML_FAILED_MISSING_OK
EMLINLOOP	EML_IN_LOOP_OK
EMLREADILM	EML_READ_IN_LOCAL_MODE_OK
ENDLES_CAL	ENDLESS_CALL
ENHOK	ENH_OK
EXCEPT_OK	EXCEPT_OK
EXCEPT_TRY	EXCEPT_TRY
EXISTS	EXISTS
F_INPUT_OK	FORMAT_INPUT_OK
FB_EXC_CX	FM_EXCEPT_OK
FB_NO_RFC	FM_RFC_OK
FB_NO_TYPE	FM_NO_TYPE
FB_NO_UPD	FM_UPDATE_OK
FB_NORC	FM_SUBRC_OK
FB_OLDED	FM_OLDED
FB_PAR_MIS	FM_PAR_MIS
FB_RAIS_EX	FM_RAISE_OK
FB_RC	FM_SUBRC_OK
FB_UPD_ILL	FM_UPDATE_OK
FD_ASSGN	FS_ASSIGN_OK
FD_HYPHEN	FIELD_HYPHEN
FD_PRE_TYP	FLD_TYPE_NAME
FDSHLP_MIS	SEARCH_HELP_OK
FM_ARG_OK	FM_ARG_OK
FM_LUW_OK	FM_LUW_OK
FREE_MEM	FREE_MEMORY_OK
FS_UNTYPED	FS_UNTYPED
GEN_OK	GEN_OK
GROUP_OK	FM_GROUP_OK
GS_TWENTY	GS_TWENTY
IN_TYP_NOK	INCL_TYPE_OK
INCL_OK	INCL_OK
INDEX_NUM	INDEX_NUM
INTO_OK	INTO_OK
IS_SUPP_OK	IS_SUPP_OK
LIT_INCOMP	LIT_COMPATIBLE
LIT_INCOMP	LIT_INCOMP
LOAD_W_INV	LOAD_STMNT_OK
LOOP_ASSIG	LOOP_ASSIGN
LOOP_INDEX	LOOP_INDEX
LOOP_TO_WR	LOOP_TO_OK
MG_ARG_LEN	MG_ARG_LEN
MG_MIS_ATT	MG_MIS_ATT
MG_MISSING	MG_MISSING
MG_PAR_CNT	MG_MISSING
MG_TYPE_UN	MG_TYPE_UNDEF
MG_USER	MG_USER
MG_WRN_ATT	MG_WRN_ATT
MOD_IN_FP	MODUL_IN_POOL
NEEDED	NEEDED
NO_HANDLER	NO_HANDLER
NO_INCOMP	COMPATIBLE
NOBREAK	NO_BREAK
NOTEXT	NO_TEXT
NUMBER_OK	NUMBER_OK
PART_OK	PART_OK
PF_ACT_GLO	PERF_GLOBAL_PAR_OK
PF_NO_FORM	PERF_NO_FORM
PF_NO_TYPE	PERF_NO_TYPE
PF_NUM_ARG	PERF_NUM_ARGS
PF_PAR_CAT	PERF_CAT_OK
PF_TAB_CAT	PERF_TABLE_CATEGORY
PREFIX_OK	PREFIX_OK
RAIS_NO_FB	RAISE_NO_FM
RAISE_OK	RAISE_OK
RC_AFT_COM	SUBRC_AFTER_COMMIT
RC_READ	SUBRC_READ
SAPRL_OK	SAPRL_OK
SEC_PROTEC	SECTION_OK
SEL_WRONG	SEL_WRONG
SHAREOK	SHARE_OK
STAT_PROG	STAT_PROG
STAT_UNDEF	STAT_UNDEF
STMNT_EXIT	STMNT_EXIT
STOP_IN_FB	STOP_IN_FM
STOP_IN_MO	STOP_IN_MODULE
STR_NUM	STR_NUM
STRING_OK	STRING_OK
SUB_FR_SEL	SUB_FR_SEL
SUB_NO_REP	SUB_NO_REP
SUB_PAR	SUB_PAR
SUB_SELOP	SUB_SELOP
SUBRC_OK	SUBRC_OK
TDCT_MISS	TDCT_MISS
TEXT_CHAR	TEXT_CHAR
TEXT_DIFF	TEXT_DIFF
TEXT_DUP	TEXT_DUP
TEXT_POOL	TEXT_POOL
TEXT_UNIQ	TEXT_UNIQ
TEXT_USE	TEXT_USE
TIME_ARITH	TIME_ARITH
TIME_ASSIG	TIME_ASSIGN
TIME_COMP	TIME_COMP
TITL_UNDEF	TITL_UNDEF
TSTC_MISS	TSTC_MISS
TYPES_MISS	TYPE_CHAIN_OK
UOM_IN_MES	UOM_IN_MES
USER_FB	USER_FM
USER_OK	USER_OK
USER_SMOD	USER_SMOD
VALUE_OK	VALUE_OK
WARNOK	WARN_OK
WH_WRCHAIN	WHEN_CHAIN_OK
WHEN_DOUBL	WHEN_DOUBLE_OK
WHERE_OK	LOOP_WHERE_OK
WRITE_MOVE	WRITE_MOVE
WRITE_OK	WRITE_OK
